id procesu, czy nieblokujacy, dlugosc, czas, przepustowosc
1, 0, 1, 4.054709e-07, 18.816132
1, 0, 2, 2.932429e-07, 52.034638
1, 0, 4, 2.971865e-07, 102.688309
1, 0, 8, 3.083114e-07, 197.965922
1, 0, 16, 3.175810e-07, 384.375367
1, 0, 32, 3.147961e-07, 775.551557
1, 0, 64, 3.254627e-07, 1500.268023
1, 0, 128, 3.413152e-07, 2861.175187
1, 0, 256, 3.448095e-07, 5664.360412
1, 0, 512, 4.126596e-07, 9466.035070
1, 0, 1024, 5.276343e-07, 14806.658034
1, 1, 1, 2.455981e-07, 31.064546
1, 1, 2, 2.454362e-07, 62.170073
1, 1, 4, 2.465749e-07, 123.765942
1, 1, 8, 2.486195e-07, 245.496283
1, 1, 16, 2.466732e-07, 494.866632
1, 1, 32, 2.462530e-07, 991.422067
1, 1, 64, 2.555389e-07, 1910.790239
1, 1, 128, 2.740780e-07, 3563.081791
1, 1, 256, 2.926863e-07, 6673.099971
1, 1, 512, 3.546229e-07, 11015.222142
1, 1, 1024, 4.776539e-07, 16355.985483
